,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
0,五分山雷達站,35007.8618971,72865.2589429,72865.2589429,56179.0444225,59535.3832805,61484.4489311,50722.4881745,42564.1733789,59958.6758298,72204.2508515,65329.5619303,128881.1064694,97662.5937926,134988.7375310,135204.5344903,134425.2096474,161760.3112510,160164.0442856,153067.4766573,174472.1721815,184765.5099097,168962.5849046,218157.3779771,243555.1832446,269890.8816993,275068.1166791,275068.1166791,293770.5661987,294586.4071977,294435.9266696,293170.4142799,292069.1484598,309190.4889778,309190.4889778,314454.6257536,360847.0670550,315885.0333316,271870.7604866,339497.9781235,339108.5888433,346993.7273262,357095.6646880,345837.2586762,220205.7699286
1,新北,25240.7147588,47087.9750721,47087.9750721,27328.1907907,32230.2309513,32818.5030380,22887.8821890,19024.6116092,30848.4950459,43719.5082060,36224.4584593,101204.1266798,68570.0618707,106833.4732783,106962.8223980,107441.2343128,133233.5074132,131625.4025908,124971.2841299,146161.3312481,157320.0218610,144766.0152538,192540.9826567,217650.3308917,243938.9412331,249506.4889312,249506.4889312,269317.5825071,270232.4081964,270256.0042108,269025.6649706,268876.0484217,285875.0269253,285875.0269253,291948.8750818,341922.7112419,287911.9550227,243497.5611189,326172.5057850,325918.8238910,319017.2958471,328990.5117552,317694.3002507,206523.7226736
2,淡水,1588.6885647,42004.9258102,42004.9258102,35365.9983668,32953.3001283,38621.7053980,27657.7681545,15715.4313445,41306.5336698,47072.2298762,46668.3947278,114567.0520787,76642.0608971,118811.1660490,118673.2079274,122081.2184053,143452.6589597,141822.5412283,136765.3364471,156977.0088938,170280.2984021,162547.7014092,208249.5855972,232799.0411839,258883.0233432,264968.3581817,264968.3581817,286042.5968623,287062.1326400,287271.5022837,286082.5010073,286860.7387008,303692.4251954,303692.4251954,310458.0783918,362718.7019021,298767.0152777,253319.0357700,349149.9914430,348931.2550099,316243.6116267,326608.0797113,315458.8480614,186763.5621521
3,鞍部,7611.9438513,50317.6907786,50317.6907786,41852.4539645,40590.3513089,45651.8871168,34356.4809600,22682.0404145,47506.7471443,54677.2318474,53019.4793907,120838.3968879,83843.3150901,125431.1603704,125353.2463165,128030.1800356,150505.5048806,148876.5031468,143473.2651964,163934.0102376,176772.6293203,167531.0712192,214012.7781869,238755.6727773,264917.8800181,270848.8067758,270848.8067758,291512.6642899,292495.2576174,292637.3656258,291432.6898562,291852.1646524,308757.7126217,308757.7126217,315237.0320956,366336.2677307,305834.7274282,260564.8644664,350995.9926358,350736.3026397,324611.3865990,334976.4429915,323826.8039758,192275.7379440
4,臺北,16791.6209220,45903.8431880,45903.8431880,30220.9315042,32502.7812974,35135.9429054,23964.5465151,15718.7280647,34939.4407380,45552.6808188,40522.8298095,107285.2164418,72620.7081045,112480.1967185,112521.4308109,113955.1535707,138382.1154393,136762.2474289,130616.5636872,151538.5733699,163411.1061723,152300.0235198,199519.3383808,224481.7333672,250726.2401318,256450.1460602,256450.1460602,276634.4139735,277579.0943851,277654.7813107,276435.5318146,276540.2573708,293499.3425615,293499.3425615,299758.5565736,350288.9825252,293461.4911200,248683.6112463,334888.9657216,334637.5877471,319923.8544561,330045.1391682,318794.9178229,200612.2231232
5,竹子湖,9267.0515289,51025.3393460,51025.3393460,41193.5465272,40587.0638858,45244.9912475,33856.6733612,22482.5992150,46687.0354914,54594.5480324,52242.2298817,119909.9712581,83435.2002555,124664.9536194,124617.3103397,126956.8202527,149958.1485534,148330.5022699,142741.2541026,163326.7214045,175919.8675875,166075.1542156,212829.9892007,237646.9728919,263837.9361227,269703.2380559,269703.2380559,290203.2599181,291171.9500833,291289.2311377,290078.9740185,290372.3076978,307301.0942201,307301.0942201,313684.1500481,364442.0920984,305263.4035962,260107.5566444,348714.3498341,348447.2311217,325566.1535347,335892.7723235,324724.7885026,194794.8667161
6,基隆,29241.7060054,69557.3381343,69557.3381343,55242.0706501,57269.7771193,60222.9530412,49021.0855457,39505.8444650,59665.8467002,70597.8183306,65193.4776723,130583.7896828,97477.8271694,136287.7929803,136419.6400007,136610.5755395,162656.0224361,161045.3537710,154423.8361706,175614.3648079,186665.7343602,172572.5560143,221170.5739713,246431.7724494,272752.0256214,278134.4656649,278134.4656649,297361.4145008,298220.1815549,298143.3165331,296891.9868301,296165.9614631,313248.5523828,313248.5523828,318810.1269426,366295.7017096,317363.7797382,272937.2200663,346118.8658955,345752.3778739,344219.6645986,354436.5640634,343220.2620417,213012.8471558
7,彭佳嶼,80294.1219755,122233.2117181,122233.2117181,115846.1149072,114597.9192304,119835.8842358,108492.5585223,96871.7278445,121235.0193878,128717.8002871,126816.1236421,194070.9199114,158033.4883154,199156.5770742,199151.6904525,200626.9604001,224617.0880027,222989.5398072,217269.9947307,237967.5686437,250194.6916717,237279.8156794,285717.9050985,310883.4551870,337179.7105633,342688.9301186,342688.9301186,362068.4222325,362928.1428617,362848.5330445,361596.0004487,360760.5637238,377862.7333109,377862.7333109,383237.7096362,428978.1437948,379913.9386981,334746.6278943,404262.7905739,403765.2211843,391105.8996428,401870.8955578,390975.6021643,221917.0641462
8,花蓮,134754.1798327,129989.5281822,129989.5281822,108788.4475212,118448.3805831,110958.1704574,114227.6896196,122157.4745971,103729.9971363,114599.8301655,101892.7461537,88081.2932494,104402.4589227,96705.2808246,98064.2208515,82827.3794925,117601.5047694,116816.3891002,105195.1368782,122233.9985690,117794.2694430,79177.8950361,127958.6503492,152354.0286942,176668.0549308,178847.7356763,178847.7356763,190216.4739458,190508.4086900,189533.5373586,188160.2227291,183037.0810011,200028.7287253,200028.7287253,202252.4058683,240135.8867445,238017.7138690,203401.6081930,216860.7331729,216538.5921077,330724.3690159,338288.8651434,327106.1919366,294680.0288643
9,新屋,45185.8801690,2836.4243364,2836.4243364,24362.3644061,15907.2584671,19534.8369799,25278.0213903,31772.1437742,26624.2638274,13719.6250318,26695.9636712,81236.9483975,39607.5070539,83117.9637255,82615.8896841,90371.2716489,104574.7516134,102966.5819709,99980.0580046,118408.9350058,134023.3144234,134905.2441629,175338.1971153,198581.5997697,224039.2680094,230860.6216339,230860.6216339,253861.0941293,255061.0950416,255611.8116545,254512.0233946,257125.0424889,273443.6255928,273443.6255928,281623.9966543,339475.5038903,258758.5939875,212646.3008357,335223.0070834,335220.5970791,273017.6954418,283241.6863010,272033.8218387,168766.5209068
10,宜蘭,55239.7575027,76285.9187970,76285.9187970,52531.4209742,60667.2172798,58038.5725860,51606.5785816,51089.3637905,52740.6725567,68411.5244912,56383.5659996,107248.8778714,85130.5126840,114672.5699491,115198.8421079,110876.5060168,142265.7266760,140758.8179093,132055.2118654,153813.9653669,161260.7259636,140225.0311383,190760.6563098,216408.3172328,242659.3660056,247222.0840642,247222.0840642,264431.0592561,265133.2151119,264793.9580297,263495.5993018,261473.6329877,278650.9671425,278650.9671425,283224.2542251,327551.4817995,292784.1351662,250420.2194291,305247.5519452,304858.5553533,340311.4137278,349843.6350440,338462.4470720,238771.6780773
11,金門,330782.7516478,288221.5405757,288221.5405757,304884.8355805,300747.3025724,299323.0655805,309632.4359435,318170.5568126,302349.7879063,288408.0136771,297692.1532380,257017.4049517,267706.2362713,248045.1353853,246940.5733002,259458.5213356,223545.9031458,224513.9678991,235998.7897395,218389.9312911,226080.8536298,269028.6957980,241054.5486537,232515.3101265,230015.7760522,237572.8475997,237572.8475997,259897.1862875,261785.1667577,264765.6352035,265113.5823744,280354.4535938,282921.6117505,282921.6117505,297547.9408010,370351.8017002,177288.8031572,167961.9652384,424777.0017762,425964.9928070,15282.1624737,3825.1366625,14444.7007497,254812.5368403
12,田中,169822.7007309,137355.8309828,137355.8309828,132916.5739389,137263.6191075,130219.0774305,140655.9227402,152583.2261532,126973.2536744,124370.2615301,121607.2588134,53904.3668451,94943.2278887,51503.1072889,52135.1391632,46300.6684139,39404.1242625,40327.7691161,36550.2791109,30906.2512860,14196.1828627,29015.1447645,40835.5847775,64561.9839372,90620.5472569,96807.7824850,96807.7824850,119352.1071642,120576.6136718,121204.4714097,120134.3651237,123815.5717005,139616.7191393,139616.7191393,148839.0790158,212911.6016670,138604.6663447,99314.0164542,227708.0137427,228220.1915575,231676.9412554,238117.0028403,227286.0633230,261031.9708402
13,東吉島,280128.4324416,242503.1212392,242503.1212392,243643.7286406,246116.1825335,240025.2307069,251164.0511363,263013.6067863,238127.8389292,232252.0915201,232559.4688969,165618.1600610,202190.9045036,160184.5207798,160191.4013221,160133.8540663,135399.5578574,137025.7339513,142070.2482379,121722.4218760,109649.8186531,135749.8950422,85837.9840436,63016.0599254,46078.8908691,51100.0468493,51100.0468493,70237.7018736,72101.0879112,75107.4033981,75524.4619009,91009.2768908,93299.7996353,93299.7996353,107963.3793240,181806.8473721,24555.0010009,34664.3082129,235925.8785855,237190.3334367,188690.8016394,189680.7900092,182008.4889484,322604.2880533
14,澎湖,262388.9887240,222498.0338720,222498.0338720,226887.6121173,228051.0717702,222710.5130140,234091.1872464,245655.8556724,221811.4614277,213953.0430869,216221.7187681,152262.1413870,184512.5424331,145437.1104152,145135.7075309,148707.2832720,118509.7941671,120113.7732889,127560.2494440,105905.6301157,99377.0584608,134419.2437526,91160.6180992,75703.8287480,70311.6738222,78052.0647458,78052.0647458,102060.5790537,104004.8599584,106856.7362964,107015.6447543,121685.5109137,126527.3477251,126527.3477251,141143.8138589,215763.1327597,42196.8492204,10331.4844786,265268.4898659,266425.8868927,157029.3215106,159202.3859935,150666.0706132,289615.1442250
15,臺南,274080.4866970,242527.0404225,242527.0404225,237310.4722273,242163.3539497,234939.3633561,245064.5594055,256922.7302429,231249.7634303,229470.1994747,226024.2226228,158910.2885538,200121.9728876,156607.6457141,157170.3879263,150629.6229048,139070.2225002,140481.2815584,140485.7178093,125921.1576354,107110.8923428,112226.4164126,64455.3426946,42092.4343220,23101.7180088,14008.9701528,14008.9701528,14939.5725580,16592.2765344,18373.8799907,17865.4504274,30573.8948773,39591.1506887,39591.1506887,52986.4744581,127434.2735830,82287.2509538,84501.9556350,174295.9876391,175505.7648263,248327.3499233,250176.3907079,241896.2010253,351805.2487349
16,永康,268121.2893122,236677.0672563,236677.0672563,231359.7142942,236241.8681990,229005.2010122,239113.5881287,250967.9012752,225295.2508878,223574.9207853,220075.7320177,153011.0084518,194264.2190128,150776.0506853,151350.8275844,144695.7285901,133504.9441369,134902.7189822,134742.9752175,120435.9224268,101477.1281978,106246.2368535,58558.0630422,36679.2629946,20521.7798208,12371.0522108,12371.0522108,20293.8343235,21761.8020842,23097.9029787,22355.8508658,33059.4769039,43948.8310485,43948.8310485,56737.4603044,130581.5756320,84162.3920722,83022.9817875,174897.9614069,176063.0595417,247390.5998874,249509.2497331,241041.7522760,347065.7293872
17,高雄,295887.6805313,266726.6735157,266726.6735157,259516.6458761,265103.7160565,257608.0393186,267235.6716004,278931.5634175,253362.7733381,252978.6631448,248342.4748910,182685.2997512,224351.2612565,181404.4523018,182112.6219191,173763.3042206,166262.7751593,167584.0838100,166333.8325181,153630.1077480,134040.8119337,131892.6534956,89554.6166263,70854.5709343,54313.7228549,45153.1573568,45153.1573568,18329.9371932,16384.3199935,13581.0743018,13626.6336501,9017.5772097,9546.6645828,9546.6645828,21745.2561588,96395.7423398,104290.5423141,114364.3969096,148539.6371833,149884.1134955,276625.4581971,277875.5778123,270030.8812506,381881.9639607
18,嘉義,213782.9899751,182005.3748313,182005.3748313,176946.4103474,181646.6607005,174471.4407306,184699.8589953,196587.7394758,170920.6715774,168911.0096645,165645.8570422,98355.8501536,139587.2452495,96139.3886513,96741.7221730,90187.4050870,80379.6363383,81664.8878006,80449.6316700,68142.3011817,48177.3825599,55251.4804379,4003.2966628,21757.1477751,47924.3258465,52969.7979245,52969.7979245,74705.6792843,75947.3870028,76641.2014295,75599.6048328,80325.3016611,95533.1399539,95533.1399539,105593.2843559,173313.9492391,106993.5621044,78763.5095687,198996.7721678,199774.1703585,234466.4240185,239002.3943729,229049.9279682,299073.3616233
19,臺中,138709.5988774,105380.7192418,105380.7192418,101820.0913164,105681.7819639,98830.2213617,109514.9933349,121458.0726589,96011.9917336,92578.8854246,90544.8421594,22691.3822956,62986.5381133,19535.8037728,20240.8108445,17741.5181615,21657.8901074,21137.9165798,9979.3465588,27267.5344193,33503.7093857,41651.9831044,72823.0378626,96215.8425559,122001.5585866,128510.6500625,128510.6500625,151341.4852157,152564.2263336,153176.9349509,152099.3963802,155439.2028773,171424.0801441,171424.0801441,180315.9376161,242519.0507187,164772.2213914,121941.1537794,251435.0738814,251792.8913065,234503.0011817,242158.6293589,230944.5062679,234943.1347722
20,阿里山,196735.3100114,171032.4329824,171032.4329824,161003.0524052,167430.2577300,159662.1001209,168617.8558667,180062.7101143,154804.1735383,156304.0642344,150068.6277429,88600.7045663,129620.5434066,90047.3352109,91127.1244568,78750.5662065,85592.9374959,86291.2960632,79906.2490690,77909.0000269,59285.3470963,33409.3352577,36443.3603192,57331.2927978,80334.5252730,82274.4384341,82274.4384341,95572.9476945,96145.9036913,95644.7159655,94326.6704072,92508.3759149,109620.3747790,109620.3747790,115421.7786828,171631.4261882,144787.1307312,117308.4469076,180873.1984754,181352.5704357,268508.8508446,273778.9897958,263460.5594794,306508.3214887
21,大武,318824.1116791,297781.1901784,297781.1901784,285013.5043008,292481.3044788,284511.5418634,292305.3906198,303069.7118872,278868.9785253,282519.9986700,274661.4691952,216902.7173731,257327.1549734,218532.7406024,219601.2480923,206954.5305582,211355.3003453,212320.1679456,207488.4453446,201124.9021166,180826.7980963,161341.5996676,137846.8575851,129666.5015104,122696.7936763,114337.2772320,114337.2772320,91338.0081252,89496.3405923,86472.6752608,86037.5417713,70698.8132071,70623.0170942,70623.0170942,57242.4306787,46031.0163085,177842.4735458,185185.4757385,75062.8994392,76463.7881269,349136.3522029,350808.5735725,342668.6448498,432877.4355619
22,玉山,194566.3937845,171791.9872035,171791.9872035,159745.6937906,166849.5560637,158929.7548603,167194.5159188,178301.3687614,153560.7118717,156582.3556949,149143.4186278,91921.4186975,131516.5847220,94759.6974523,95974.4184537,81879.7286805,94370.1473166,94860.6855000,87111.9852926,88306.3330054,71006.0102007,36918.4897684,51481.8059356,71335.8835245,93050.4414981,94077.1991259,94077.1991259,104432.0086475,104771.0773072,103897.7990528,102534.5275784,98591.6862174,115764.6695205,115764.6695205,119871.5618079,170541.9058125,158890.3225841,132345.2907564,173077.9461173,173432.1681387,283046.4922014,288454.7653874,278073.0200382,313247.0215944
23,新竹,59034.3107066,22921.3852892,22921.3852892,25760.4679031,24697.6411521,20491.7345386,31731.7560460,42618.5799068,23017.9713600,10579.1901399,18884.5360363,61242.0728344,19977.2242905,63597.7849192,63195.6663827,70255.9405318,86441.1892970,84815.1198441,80898.0971151,100158.2923604,114896.8946569,114738.7330976,155548.8145655,179063.8647508,204693.8784616,211358.9463269,211358.9463269,234049.0368300,235225.2497998,235732.4243007,234620.9782383,237061.1245071,253427.7421469,253427.7421469,261514.3200329,319367.7800565,241502.5115268,195819.7767021,316133.3089009,316166.6539694,266463.9092403,276303.2787186,264976.6171906,182239.2920216
24,恆春,360274.8234666,337985.1377969,337985.1377969,326038.2090795,333265.7354001,325334.8918881,333414.2351977,344333.4791836,319868.3505978,322919.9371309,315528.9257813,255989.1744261,296968.0759911,256978.1902923,257970.5696304,246162.3984869,247549.7356494,248635.4635760,244794.5481189,236424.0216331,216095.0388532,200704.8180335,171718.0846644,159116.0943722,146362.3747556,137280.0437181,137280.0437181,110391.7414586,108435.1957551,105802.8392775,105909.4222411,93383.7323704,85345.5267195,85345.5267195,70846.0082445,4323.5511326,189705.6399770,206339.5323851,81854.0081768,83610.6721464,366434.2238278,366864.5787764,359650.4700508,468026.2463442
25,成功,231525.7722594,217227.8573560,217227.8573560,200587.9833477,209167.7188462,201170.1938923,207281.6044033,217019.5592164,194712.7044417,201398.0186313,191317.6940209,145449.1421731,180808.4963310,150127.3363948,151475.8305917,135672.7476870,153885.7890654,154224.2382850,145486.6297059,148687.7565234,131559.8102961,94787.2927541,105023.8815317,116362.1336102,129425.4493456,126286.2299079,126286.2299079,122964.3027283,122307.2884992,120088.6033849,118778.0394095,107285.9278968,121553.5581250,121553.5581250,118189.2419634,141021.2786518,198657.8138323,182188.4180935,120363.1390623,120357.3378265,340048.0219108,344750.7697128,334727.9474687,368902.7772710
26,蘭嶼,349465.7882193,336663.2291697,336663.2291697,319642.2212329,328386.1492606,320409.0543425,326168.9146030,335552.6557221,313843.2163328,320826.8714597,310586.4509572,263120.3085137,299920.6974700,266881.2688271,268153.0817014,253149.2424679,266095.8160579,266744.7599153,259612.1244683,258183.3252481,238743.4158653,209418.6740526,200341.3958688,198100.6894174,195675.6696255,187917.3687305,187917.3687305,166806.2061997,165023.9434668,161975.7501063,161427.9990258,145787.1622129,146761.7982033,146761.7982033,133221.6571438,83308.3293129,253798.8630021,258251.2849792,2247.7790427,958.4664235,422874.3693649,425071.9606408,416573.4253326,485776.7527003
27,日月潭,154442.0554352,128629.5462712,128629.5462712,118489.6483058,124834.6654558,117075.9435054,126132.5618304,137654.1177695,112295.0419554,113770.6993647,107508.3505179,47870.5906955,87685.5252589,51281.8842157,52573.7209311,37826.3409237,56887.5947646,56877.0228139,46930.9398925,55786.0536760,46334.0291506,9866.1181629,60719.7725419,86389.1547254,112451.2895341,116763.6564665,116763.6564665,134681.2559072,135520.0101363,135438.2323448,134190.4164987,134084.0182588,151011.0429660,151011.0429660,157616.2435427,213596.2103033,168038.6863925,131286.1987715,216208.9274319,216479.0167240,263257.0661812,270062.7140648,259104.4210634,270309.6474604
28,臺東,271485.7262335,253452.2442544,253452.2442544,238863.9823264,246867.1160194,238848.1745635,245916.2341133,256254.3354143,232812.6183830,237850.2095526,228948.2793355,175914.4933660,214560.7731846,178930.7503196,180143.4090253,165872.2891309,176614.1055785,177309.0898192,170568.1148864,168486.7124408,149037.5890332,121061.0811026,111711.5014164,113152.7095541,117054.4987501,111129.6093984,111129.6093984,98508.0958009,97275.5919619,94483.4924191,93406.5616526,78839.1928134,89197.3478734,89197.3478734,82021.0845564,96678.3165461,183203.5698240,177344.4747276,89947.5257786,90490.2694403,341041.8385275,344349.0919424,335123.0352675,397138.8911439
29,墾丁雷達站,365158.0958312,343621.7909742,343621.7909742,331221.4702534,338596.0381413,330641.1896619,338543.7169281,349357.2447672,325066.7930521,328456.5176452,320807.4819862,262060.3349837,302843.4187778,263268.4778212,264285.8019704,252183.5662739,254445.4869376,255503.8445005,251410.7817829,243506.6221563,223162.7803678,206635.5529583,178985.0832433,166996.6757103,154759.2881682,145706.2872998,145706.2872998,118973.3574384,117015.7723003,114351.6459084,114427.5006244,101640.4860745,94022.9268977,94022.9268977,79473.7642734,5903.9311841,198580.1544519,214980.0573798,75966.5120792,77735.2906551,375270.4328709,375722.2968724,368492.2075156,475247.7584702
30,馬祖,188880.1793487,170367.3258188,170367.3258188,194647.2134663,184756.5977587,190686.9307848,192216.2973646,190375.3281627,197991.3338693,184370.1707461,198104.0290162,226228.4535539,194468.2956050,221795.4468929,220491.8409139,236007.3964340,224305.4218998,223412.7723499,229348.8708883,234491.7559000,254832.2889248,279109.1074517,298919.4779140,313637.3149665,332682.7057261,341581.4925287,341581.4925287,369158.0569726,370881.0487610,372588.2178018,371917.2422291,380336.8812310,393491.3326413,393491.3326413,405474.8434714,474960.1978978,333298.1283779,290350.5420551,489039.1578487,489365.8167714,240593.1713945,251869.7979184,244272.0125230,2793.6260507
