,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
134,苑裡,115258.9728541,77395.1935334,77395.1935334,79562.5169228,81002.5967929,75400.4285871,86763.8900599,98383.4535856,74587.7702476,67008.4903372,69015.7569706,22902.4289565,37205.4262941,16217.9389337,14832.0486515,31338.0819768,30009.4864893,28394.9218461,26876.4215777,43828.6001646,60260.4318165,73435.1620719,103673.4874483,125430.0189521,150304.6427108,157518.8046470,157518.8046470,181715.9068672,183048.6405559,183872.9911148,182858.7400683,187114.8156928,202750.2174729,202750.2174729,212176.8535963,275295.7287388,185007.0015588,139519.7605893,283275.4378129,283580.2105665,227885.9472530,236639.2897674,225246.0251872,203079.1384107
135,大河,80512.1365222,47136.6999287,47136.6999287,44087.9595853,46854.9874818,40399.4012834,51532.4724271,63370.3145289,38849.3801543,33626.8718381,33257.1164071,37028.2821580,6433.6830250,39990.4286090,39753.2538497,46016.3311414,64696.8207694,63071.1871748,57786.1440636,78053.9878325,91523.7031510,90775.9261783,131433.7009729,155167.2792238,180941.7592061,187459.3662443,187459.3662443,209900.7942274,211061.8577232,211543.4406702,210425.7174288,212810.3514679,229181.9801870,229181.9801870,237274.0712974,295603.6867308,219982.8942618,174948.8361643,294480.0606106,294577.0982170,257861.1990836,267166.6885753,255768.2082378,198091.6365837
136,高鐵苗栗,89702.7607457,52560.5629134,52560.5629134,54265.7832041,55439.4381181,49929.9821100,61329.9380522,72871.6614338,49564.2454439,41463.1373107,44063.5328391,33614.8085529,11777.5926349,33760.0157623,33121.3228358,43535.1206567,55414.3840494,53787.7628921,50255.1286112,69132.3897768,84297.7137167,89148.4655250,126077.5191931,148964.9072305,174334.1514499,181222.1157744,181222.1157744,204564.5368935,205809.2770466,206453.5918874,205382.4963686,208623.7098514,224693.2379062,224693.2379062,233395.2694012,293824.1377348,210568.0355691,165052.5031469,296130.8548479,296301.5767999,245439.7823415,254731.4768318,243332.4945512,193144.2536483
137,三義,111541.9583011,76144.4362401,76144.4362401,75065.9292819,77725.8105875,71429.6866128,82556.5216922,94404.9324168,69665.5446048,64129.0251856,64075.7990384,13472.1744579,34069.1232737,10165.6239265,9410.1193578,23014.1875073,33999.8497356,32394.6552501,26883.8584837,47096.6466801,60858.4542921,67536.4039634,102362.8615216,125285.1351333,150748.4057836,157557.1231015,157557.1231015,180840.7582294,182088.7586420,182743.7209075,181676.8801926,185070.0796755,201063.9122890,201063.9122890,209916.5987333,271296.2536074,189049.5973080,144280.7083104,276629.4425387,276883.5059005,237842.6206102,246484.7491683,235100.7302848,210230.3066789
138,海埔,90526.7709322,51322.4438495,51322.4438495,56283.8826001,56202.2818694,51509.0820324,62923.8156863,74086.9494599,52133.6306035,42082.4866566,46825.1592888,38585.8757590,15106.1745707,37303.5975898,36445.3199748,48624.7461077,56097.8726865,54498.6015262,52457.4647260,69948.5566654,86280.4013572,94100.0233069,129028.4829787,151333.4244598,176385.5751209,183499.6026167,183499.6026167,207355.0451201,208647.0263315,209384.6711114,208341.7678113,212052.4520409,227939.4989120,227939.4989120,236958.6465051,298354.2119713,210427.4556359,164532.0603742,301979.4061963,302173.9634764,240256.9312664,249681.5183200,238292.1306679,186572.0615659
139,通霄漁港,109149.9416064,70744.4331025,70744.4331025,73832.1082693,74831.9785042,69485.6263737,80893.3106285,92396.4049880,69061.4665900,60771.1147470,63529.6966601,26360.2838944,31344.2742790,21367.2031119,20126.7806401,35701.4978966,36651.4196016,35051.4478866,33702.3789048,50501.3902972,67135.3252252,79215.6861044,110507.1359539,132307.4471549,157167.6966590,164393.4636422,164393.4636422,188583.9459533,189913.6932429,190730.6928931,189713.7089605,193902.6724880,209573.3500644,209573.3500644,218944.1361173,281767.9770795,191286.5132723,145606.2940167,288820.6251163,289100.4670656,229845.9921913,238804.4964311,227401.5158484,197737.1277321
140,龍鳳,80180.7409413,41871.3499511,41871.3499511,45855.9332875,45840.4711581,41058.1242762,52473.1374885,63665.3300821,41819.6495364,31726.0479443,36592.8396516,44074.4001964,7018.2150231,44597.5259451,43965.0247632,53856.5056415,65673.3145347,64055.8129994,61005.2740880,79472.5001488,95032.3025292,99411.5797359,136920.8098994,159779.4166694,185104.5469606,192028.3181203,192028.3181203,215408.0571217,216652.9685068,217295.9901802,216224.0957761,219421.1278026,235513.9805359,235513.9805359,244166.6182690,304238.3950484,220474.3639368,174708.1477616,305350.0036685,305487.0818708,249399.3272112,258951.7571414,247575.8645429,185669.6039420
141,雪山圈谷,90528.7917757,73517.3929332,73517.3929332,56717.1471531,64965.6488282,56954.0878076,63812.6131023,74493.2662536,50689.3537734,57656.7272924,47083.6496788,42790.2756049,44734.7013502,51346.8763058,52244.6967620,44414.3932563,78445.7339747,77093.9339748,67070.4769050,88570.5981588,94315.3388914,75371.9974285,124528.6547611,150035.9029517,176362.8904949,181372.6511252,181372.6511252,200161.0989039,201016.8740752,200946.7563483,199698.5787116,199266.6610308,216287.5016708,216287.5016708,222327.2635856,273892.5544711,225715.8769054,183894.6912730,264532.7434579,264474.7333104,287141.1797708,295783.3064586,284400.9630997,235178.4260134
142,石岡,121389.4546731,88523.6921727,88523.6921727,84504.4933338,88402.6152403,81514.0548899,92195.5498763,104138.4258653,78713.0060224,75403.6834069,73235.1772029,5695.7780740,46097.3044943,6044.0788206,7489.0315745,9277.0335159,30338.3833059,29023.9342697,19165.9205870,40913.0027778,50624.0762203,52881.5861034,89691.9750667,113417.5867036,139276.6832914,145702.8623971,145702.8623971,168195.2714658,169378.6476337,169910.9132547,168809.1505415,171636.7045374,187828.0772576,187828.0772576,196328.3636181,256916.5917681,181355.0290562,137805.1691493,262051.1667349,262315.8482932,241824.8634503,250014.1282178,238689.7514924,224614.9189208
143,中坑,117415.6097276,88304.0585425,88304.0585425,80641.0218301,85870.7735433,78434.6526497,88394.1891620,100247.3567450,74574.3120708,73921.7334951,69366.2094200,10194.8453486,46877.8863088,18501.1158894,19870.4044170,7271.6432954,42513.0517894,41337.2808790,30482.6762803,51584.4669411,57737.9896428,49431.4168961,92416.5533941,117176.9636926,143400.0730324,149231.8251420,149231.8251420,170310.2201977,171371.3633948,171673.6544462,170510.5688350,172144.4223912,188711.9592774,188711.9592774,196378.4739995,254301.5787134,189306.3841175,146884.7949873,255560.0948143,255747.7156509,254831.7469077,262963.6955924,251650.2404579,232451.8727279
