,站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
87,C0B040,大武崙,局屬自動站,15.0,121.706993,25.166676,基隆市,安樂區武聖街144弄50號(大武崙安檢所樓頂),2022-03-09,,,,
88,C0B050,八斗子,局屬自動站,5.0,121.79167,25.144754,基隆市,中正區漁港1街9號(八斗子安檢所樓頂),2022-03-09,,,,
89,C0B060,暖暖,局屬自動站,83.0,121.7403,25.0957,基隆市,暖暖區東碇路15號（暖暖運動公園內）,2023-01-14,,,,
90,C0C460,復興,局屬自動站,482.0,121.352281,24.820208,桃園市,復興區澤仁里中正路248號(介壽國民中學校園內),2007-10-01,,原(C1C460)站因擴充為氣象站，於2007/10/1升級為(C0C460)站。,C1C460,
91,C0C480,桃園,局屬自動站,105.0,121.323172,24.992425,桃園市,桃園區成功路二段144號(桃園高級農工職業學校校園內),2008-01-01,,原(C1C480)站因擴充為氣象站，於2008/1/1升級為(C0C480)站。,C1C480,
92,C0C490,八德,局屬自動站,157.0,121.283289,24.928708,桃園市,八德區興仁里中山路94號(八德國民小學校園內),2011-12-01,,原(C1C490)站因擴充為氣象站，於2011/12/1升級為(C0C490)站。,C1C490,
93,C0C590,觀音,局屬自動站,72.0,121.153317,25.027072,桃園市,觀音區廣福里10-42號(逸福農場),2007-10-01,,,,
94,C0C620,蘆竹,局屬自動站,19.0,121.265767,25.084275,桃園市,蘆竹區坑口里14鄰旁,2011-12-01,,原(C1C620)站因擴充為氣象站，於2011/12/1升級為(C0C620)站。,C1C620,
95,C0C630,大溪,局屬自動站,209.0,121.265547,24.882853,桃園市,大溪區員林路2段450號(員樹林國小校園內),2007-12-01,,,,
96,C0C650,平鎮,局屬自動站,208.0,121.214636,24.897503,桃園市,平鎮區中豐路山頂段375巷45號(山豐國民小學校園內),2007-12-01,,,,
97,C0C660,楊梅,局屬自動站,176.0,121.143047,24.912375,桃園市,楊梅區金華街100號(楊心國小),2013-08-01,,,,
98,C0C670,龍潭,局屬自動站,250.0,121.221389,24.870056,桃園市,龍潭區中興路726號（龍潭消防分隊）,2014-04-01,,,,
99,C0C680,龜山,局屬自動站,228.0,121.38656,25.02846,桃園市,龜山區文化一路250號(國立體育大學田徑場),2017-04-12,,,,
100,C0C700,中壢,局屬自動站,151.0,121.256375,24.977661,桃園市,中壢區成章四街120號(內壢高中樓頂),2017-12-27,,,,
101,C0C710,大溪永福,局屬自動站,143.0,121.324975,24.892936,桃園市,大溪區信義路1165號（永福國小）,2018-12-26,,,,
